"filename", "language", "JSON", "C++", "CMake", "Markdown", "HTML", "Python", "XML", "GLSL", "Slang", "PostCSS", "comment", "blank", "total"
"d:\temp\Lumen\examples\shadertoy\shaders\shadertoy.frag", "GLSL", 0, 0, 0, 0, 0, 0, 0, 483, 0, 0, 36, 103, 622
"d:\temp\Lumen\examples\shadertoy\shaders\shadertoy.vert", "GLSL", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 3, 10
"d:\temp\Lumen\examples\shadertoy\src\main.cpp", "C++", 0, 318, 0, 0, 0, 0, 0, 0, 0, 0, 5, 58, 381
"d:\temp\Lumen\examples\tinygltf_raw_load_test\CMakeLists.txt", "CMake", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 9, 46
"d:\temp\Lumen\examples\tinygltf_raw_load_test\shaders\gltf_pbr.frag", "GLSL", 0, 0, 0, 0, 0, 0, 0, 224, 0, 0, 9, 42, 275
"d:\temp\Lumen\examples\tinygltf_raw_load_test\shaders\gltf_pbr.vert", "GLSL", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 37
"d:\temp\Lumen\examples\tinygltf_raw_load_test\src\ibl_cpu.cpp", "C++", 0, 306, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26, 339
"d:\temp\Lumen\examples\tinygltf_raw_load_test\src\ibl_cpu.hpp", "C++", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9, 40
"d:\temp\Lumen\examples\tinygltf_raw_load_test\src\main.cpp", "C++", 0, 983, 0, 0, 0, 0, 0, 0, 0, 0, 14, 108, 1105
"d:\temp\Lumen\note\buffer&memory.md", "Markdown", 0, 0, 0, 353, 0, 0, 0, 0, 0, 0, 0, 163, 516
"d:\temp\Lumen\note\pipeline_ vertex (opt).svg", "XML", 0, 0, 0, 0, 0, 0, 446, 0, 0, 0, 1, 1, 448
"d:\temp\Lumen\scripts\mipmapper.py", "Python", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 22, 12, 114
